关卡排序,编号ID,序号,等级段,名称,大关类,类型,对话,描述,体力,城堡血量,过关奖励ID,未过关奖励ID,解锁兵种,背景,出兵序列,章节图,pvp,对白回合1,对白回合2,对白回合1ID,对白回合2ID
305,1305,5,73,江州-5,31,1,0,江州 西进巴蜀第2关,1,510075,52305,52905,0,7,"(10080,222,11)(10090,311,9)(10080,266,7)(10150,178,7)(10130,133,15)(10130,222,11)(10035,311,9)[(5705,390,2),(10080,266,33)][(5706,342,1),(10090,178,16)](10080,133,33)(10150,222,16)(10130,311,33)(10130,266,7)(10035,178,7)(10080,133,18)(10090,222,6)(10080,311,18)(10150,266,4)(10130,178,15)(10130,178,15)",8,0,0,0,0,0
306,1306,6,74,江州-6,31,2,0,江州 西进巴蜀第2关,1,1632330,52306,52906,0,7,"(10110,269,32)(10005,377,64)(10120,323,16)(10120,215,10)(10015,161,13)(10043,269,3)(10005,377,64)(10110,323,81)(10005,215,48)(10120,161,13)(10120,269,6)(10015,377,13)(10043,323,8)(10005,215,48)(10110,161,145)(10005,269,145)(10120,377,29)(10120,323,29)(10015,215,23)(10043,215,11)",8,0,0,0,0,0
307,1307,7,74,江州-7,31,1,0,江州 西进巴蜀第2关,1,544815,52307,52907,0,7,"(10060,238,56)(10025,333,19)(10090,286,4)(10110,190,75)(10110,143,75)(10130,238,11)(10025,333,19)(10060,286,168)(10060,190,168)(10025,143,34)(10090,238,17)(10110,333,168)(10110,286,37)(10130,190,15)(10025,143,19)(10060,238,56)(10090,333,9)(10110,286,37)(10110,190,75)(10130,190,15)",8,0,0,0,0,0
308,1308,8,74,江州-8,31,1,0,江州 西进巴蜀第2关,1,204030,52308,52908,0,7,"(10139,222,13)[(5686,195,3),(10139,311,13)][(5700,268,1),(10080,266,27)][(5676,268,1),(10080,178,27)](10099,133,6)(10035,222,5)(10070,311,12)(10139,266,8)(10139,178,6)(10080,133,9)(10080,222,12)(10099,311,8)(10035,266,6)(10070,178,9)(10139,133,6)(10139,222,8)(10080,311,12)(10080,266,9)(10099,178,6)(10035,178,8)",8,0,0,0,0,0
309,1309,9,74,江州-9,31,2,0,江州 西进巴蜀第2关,1,251798,52309,52909,0,7,"(10150,277,18)(10044,388,18)(10130,332,36)(10025,222,36)(10090,166,8)(10025,277,12)(10090,388,8)(10150,332,10)(10044,222,8)(10130,166,12)(10025,277,16)(10090,388,10)(10025,332,16)(10090,222,6)(10150,166,8)(10044,277,10)(10130,388,16)(10025,332,12)(10090,222,8)(10025,222,20)",8,0,0,0,0,0
310,1310,10,74,江州-10,31,3,0,江州 西进巴蜀第2关,1,0,52310,52910,0,7,,8,100,0,0,0,0
311,1311,1,75,梓潼-1,32,1,0,梓潼 西进巴蜀第3关,1,244850,52311,52911,0,8,"(10090,269,14)(10035,377,14)(10060,323,137)(10035,215,14)(10025,161,12)(10015,269,9)(10025,377,12)(10090,323,8)(10035,215,6)(10060,161,46)(10035,269,6)(10025,377,15)(10015,323,12)(10025,215,9)(10090,161,6)(10035,269,8)(10060,377,61)(10035,323,5)(10025,215,12)(10015,215,15)",8,0,0,0,0,0
312,1312,2,75,梓潼-2,32,1,0,梓潼 西进巴蜀第3关,1,370448,52312,52912,0,8,"(10044,243,7)(10005,340,110)(10005,292,92)(10070,194,15)(10099,146,11)(10070,243,15)(10044,340,11)(10139,292,9)(10044,194,7)(10005,146,110)(10005,243,74)(10070,340,22)(10099,292,9)(10070,194,15)(10044,146,11)(10139,243,7)(10005,340,110)(10070,292,18)(10099,194,7)(10070,194,22)",8,0,0,0,0,0
313,1313,3,75,梓潼-3,32,2,0,梓潼 西进巴蜀第3关,1,692460,52313,52913,0,8,"(10150,306,4)(10080,428,14)(10110,367,28)(10110,245,57)(10130,184,11)(10090,306,4)(10150,428,7)(10130,367,26)(10150,245,13)(10080,184,26)(10110,306,128)(10110,428,128)(10130,367,6)(10090,245,6)(10150,184,7)(10130,306,9)(10080,428,14)(10110,367,28)(10110,245,57)(10130,245,11)",8,0,0,0,0,0
314,1314,4,75,梓潼-4,32,1,0,梓潼 西进巴蜀第3关,1,1568640,52314,52914,0,8,"(10110,258,34)(10110,361,68)(10110,310,85)(10015,206,10)(10025,155,14)(10005,258,34)(10005,361,68)(10120,310,17)(10110,206,51)(10110,155,68)(10110,258,34)(10015,361,14)(10025,310,17)(10005,206,51)(10005,155,153)(10120,258,31)(10015,361,31)(10025,310,31)(10005,206,119)(10005,206,119)",8,0,0,0,0,0
315,1315,5,75,梓潼-5,32,1,0,梓潼 西进巴蜀第3关,1,590411,52315,52915,0,8,"(10139,235,6)(10139,329,10)(10044,282,4)(10070,188,15)(10060,141,76)(10044,235,6)(10099,329,10)[(5655,259,1),(10139,282,17)][(5708,259,1),(10139,188,17)][(5706,259,1),(10044,141,17)](10070,235,34)(10060,329,170)(10044,282,4)(10099,188,8)(10139,141,10)(10139,235,6)(10044,329,10)(10070,282,8)(10060,188,76)(10044,188,8)",8,0,0,0,0,0
316,1316,6,76,梓潼-6,32,2,0,梓潼 西进巴蜀第3关,1,428348,52316,52916,0,8,"(10090,283,7)(10130,396,20)(10080,340,17)(10150,226,7)(10035,170,10)(10080,283,13)(10090,396,10)(10090,340,8)(10130,226,13)(10080,170,20)(10150,283,7)(10035,396,10)(10080,340,17)(10090,226,7)(10090,170,10)(10130,283,13)(10080,396,20)(10150,340,8)(10035,226,7)(10080,226,20)",8,0,0,0,0,0
317,1317,7,76,梓潼-7,32,1,0,梓潼 西进巴蜀第3关,1,230954,52317,52917,0,8,"(10099,253,18)(10044,354,18)(10044,304,18)(10005,202,175)(10005,152,78)(10139,253,6)(10099,354,8)(10060,304,97)(10099,202,8)(10044,152,6)(10044,253,8)(10005,354,97)(10005,304,78)(10139,202,6)(10099,152,8)(10060,253,97)(10044,354,8)(10044,304,6)(10005,202,78)(10005,202,97)",8,0,0,0,0,0
318,1318,8,76,梓潼-8,32,1,0,梓潼 西进巴蜀第3关,1,586069,52318,52918,0,8,"(10110,234,47)(10060,328,78)(10120,281,6)(10110,187,62)(10110,140,62)(10070,234,9)(10120,328,16)[(5677,231,2),(10015,281,28)][(5692,308,1),(10110,187,140)][(5678,231,2),(10060,140,140)](10120,234,28)(10110,328,140)(10110,281,31)(10070,187,12)(10120,140,16)(10015,234,9)(10110,328,78)(10110,281,31)(10070,187,12)(10120,187,12)",8,0,0,0,0,0
319,1319,9,76,梓潼-9,32,2,0,梓潼 西进巴蜀第3关,1,1771290,52319,52919,0,8,"(10044,293,4)(10130,410,17)(10044,352,10)(10150,234,6)(10130,176,17)(10035,293,4)(10070,410,17)(10035,352,10)(10044,234,6)(10130,176,17)(10044,293,4)(10150,410,8)(10130,352,21)(10035,234,6)(10070,176,37)(10035,293,19)(10130,410,37)(10044,352,19)(10150,234,15)(10130,234,29)",8,0,0,0,0,0
320,1320,10,76,梓潼-10,32,3,0,梓潼 西进巴蜀第3关,1,0,52320,52920,0,8,,8,100,0,0,0,0
321,1321,1,77,涪水关-1,33,1,0,涪水关 西进巴蜀第4关,1,642521,52321,52921,0,9,"(10110,283,48)(10110,396,80)(10080,340,6)(10150,226,6)(10130,170,13)(10080,283,10)(10090,396,8)(10110,340,143)(10110,226,143)(10080,170,29)(10150,283,14)(10130,396,29)(10080,340,6)(10090,226,6)(10110,170,80)(10110,283,48)(10080,396,16)(10150,340,3)(10130,226,13)(10080,226,13)",8,0,0,0,0,0
322,1322,2,77,涪水关-2,33,1,0,涪水关 西进巴蜀第4关,1,235296,52322,52922,0,9,"(10080,258,34)(10080,361,34)(10130,310,34)(10130,206,34)(10035,155,8)(10035,258,6)(10090,361,8)(10090,310,10)(10150,206,8)(10150,155,6)(10080,258,15)(10080,361,19)(10130,310,15)(10130,206,11)(10035,155,8)(10035,258,10)(10090,361,8)(10090,310,6)(10150,206,8)(10150,206,10)",8,0,0,0,0,0
323,1323,3,77,涪水关-3,33,2,0,涪水关 西进巴蜀第4关,1,484800,52323,52923,0,9,"(10060,322,59)(10070,451,18)(10060,386,74)(10099,258,6)(10070,193,18)(10139,322,6)(10044,451,9)(10139,386,7)(10099,258,6)(10044,193,9)(10060,322,59)(10070,451,18)(10060,386,74)(10099,258,6)(10070,193,18)(10139,322,6)(10044,451,9)(10139,386,7)(10099,258,6)(10044,258,9)",8,0,0,0,0,0
324,1324,4,77,涪水关-4,33,1,0,涪水关 西进巴蜀第4关,1,1649700,52324,52924,0,9,"(10130,272,7)(10035,381,7)(10130,326,18)(10150,218,5)(10044,163,7)(10070,272,7)(10070,381,14)(10035,326,9)(10130,218,11)(10035,163,7)(10130,272,7)(10150,381,7)(10044,326,9)(10070,218,11)(10070,163,32)(10035,272,16)(10130,381,32)(10035,326,16)(10130,218,25)(10150,218,12)",8,0,0,0,0,0
325,1325,5,77,涪水关-5,33,1,0,涪水关 西进巴蜀第4关,1,248324,52325,52925,0,9,"(10060,248,177)(10099,347,18)[(5660,273,3),(10060,298,177)](10044,198,18)(10139,149,8)(10005,248,59)(10099,347,8)(10060,298,98)(10099,198,8)(10060,149,59)(10044,248,8)(10139,347,10)(10005,298,78)(10099,198,6)(10060,149,78)(10099,248,10)(10060,347,78)(10044,298,6)(10139,198,8)(10005,198,98)",8,0,0,0,0,0
326,1326,6,78,涪水关-6,33,2,0,涪水关 西进巴蜀第4关,1,451508,52326,52926,0,9,"(10070,299,14)(10139,419,11)(10005,359,88)(10005,239,70)(10099,179,11)(10044,299,7)(10044,419,11)(10139,359,9)(10070,239,14)(10139,179,11)(10005,299,70)(10005,419,105)(10099,359,9)(10044,239,7)(10044,179,11)(10139,299,7)(10070,419,21)(10139,359,9)(10005,239,70)(10044,239,11)",8,0,0,0,0,0
327,1327,7,78,涪水关-7,33,1,0,涪水关 西进巴蜀第4关,1,605610,52327,52927,0,9,"(10015,266,12)(10060,372,101)(10110,319,40)(10070,213,16)(10060,160,81)(10060,266,61)(10120,372,20)(10070,319,36)(10015,213,36)(10015,160,36)(10060,266,182)(10110,372,182)(10070,319,8)(10060,213,81)(10060,160,101)(10120,266,12)(10070,372,20)(10015,319,8)(10110,213,81)(10120,213,16)",8,0,0,0,0,0
328,1328,8,78,涪水关-8,33,1,0,涪水关 西进巴蜀第4关,1,616466,52328,52928,0,9,"(10025,246,10)(10035,344,8)(10025,295,7)(10015,197,13)(10060,148,65)(10090,246,5)(10060,344,81)[(5684,108,4),(10035,295,15)][(5658,434,1),(10025,197,29)](10035,148,15)(10025,246,29)(10015,344,29)(10060,295,33)(10090,197,7)(10060,148,81)(10035,246,5)(10015,344,16)(10060,295,33)(10090,197,7)(10060,197,65)",8,0,0,0,0,0
329,1329,9,78,涪水关-9,33,2,0,涪水关 西进巴蜀第4关,1,1863930,52329,52929,0,9,"(10025,309,9)(10120,433,17)(10015,371,22)(10005,247,65)(10110,185,86)(10110,309,43)(10120,433,17)(10025,371,22)(10120,247,13)(10015,185,17)(10005,309,43)(10110,433,86)(10110,371,108)(10120,247,13)(10025,185,39)(10120,309,39)(10015,433,39)(10005,371,194)(10110,247,151)(10110,247,151)",8,0,0,0,0,0
330,1330,10,78,涪水关-10,33,3,0,涪水关 西进巴蜀第4关,1,0,52330,52930,0,9,,8,100,0,0,0,0
331,1331,1,79,成都-1,34,1,0,成都 西进巴蜀第5关,1,451508,52331,52931,0,10,"(10099,299,7)(10120,419,20)(10090,359,8)(10090,239,7)(10139,179,10)(10139,299,7)(10025,419,20)(10099,359,8)(10120,239,13)(10090,179,10)(10090,299,7)(10139,419,10)(10139,359,8)(10025,239,13)(10099,179,10)(10120,299,13)(10090,419,10)(10090,359,8)(10139,239,7)(10139,239,10)",8,0,0,0,0,0
332,1332,2,79,成都-2,34,1,0,成都 西进巴蜀第5关,1,409530,52332,52932,0,10,"(10150,270,8)(10150,378,12)(10150,324,10)(10060,216,80)(10044,162,12)(10035,270,8)(10015,378,24)(10015,324,20)(10060,216,80)(10150,162,12)(10150,270,8)(10150,378,12)(10060,324,100)(10044,216,8)(10035,162,12)(10015,270,16)(10015,378,24)(10060,324,100)(10044,216,8)(10044,216,12)",8,0,0,0,0,0
333,1333,3,79,成都-3,34,2,0,成都 西进巴蜀第5关,1,509408,52333,52933,0,10,"(10005,339,62)(10130,475,19)(10099,407,8)(10099,271,6)(10070,203,19)(10070,339,12)(10139,475,9)(10130,407,15)(10005,271,62)(10130,203,19)(10099,339,6)(10099,475,9)(10070,407,15)(10070,271,12)(10139,203,9)(10130,339,12)(10099,475,9)(10099,407,8)(10070,271,12)(10070,271,19)",8,0,0,0,0,0
334,1334,4,79,成都-4,34,1,0,成都 西进巴蜀第5关,1,259614,52334,52934,0,10,"(10080,286,33)(10120,400,33)(10044,343,17)(10110,229,166)(10150,172,7)(10080,286,11)(10110,400,74)(10080,343,18)(10120,229,15)(10044,172,6)(10110,286,74)(10150,400,9)(10080,343,15)(10110,229,55)(10080,172,15)(10120,286,18)(10044,400,7)(10110,343,55)(10150,229,7)(10080,229,18)",8,0,0,0,0,0
335,1335,5,79,成都-5,34,1,0,成都 西进巴蜀第5关,1,434138,52335,52935,0,10,"(10025,261,37)(10090,365,18)[(5655,373,1),(10025,313,37)][(5702,201,2),(10099,209,18)](10130,157,16)(10130,261,12)(10070,365,16)(10025,313,20)(10090,209,8)(10025,157,12)(10099,261,8)(10130,365,20)(10130,313,16)(10070,209,12)(10025,157,16)(10090,261,10)(10025,365,16)(10099,313,6)(10130,209,16)(10130,209,20)",8,0,0,0,0,0
336,1336,6,80,成都-6,34,2,0,成都 西进巴蜀第5关,1,709830,52336,52936,0,10,"(10080,314,11)(10110,440,91)(10120,377,7)(10120,251,15)(10015,188,15)(10139,314,6)(10110,440,91)(10080,377,33)(10110,251,164)(10120,188,33)(10120,314,33)(10015,440,33)(10139,377,4)(10110,251,73)(10080,188,18)(10110,314,55)(10120,440,18)(10120,377,7)(10015,251,15)(10139,251,7)",8,0,0,0,0,0
337,1337,7,80,成都-7,34,1,0,成都 西进巴蜀第5关,1,636008,52337,52937,0,10,"(10005,280,63)(10035,392,11)(10045,336,4)(10130,224,17)(10130,168,17)(10090,280,6)(10035,392,11)(10005,336,189)(10005,224,189)(10035,168,19)(10045,280,19)(10130,392,38)(10130,336,8)(10090,224,8)(10035,168,11)(10005,280,63)(10045,392,11)(10130,336,8)(10130,224,17)(10090,224,8)",8,0,0,0,0,0
338,1338,8,80,成都-8,34,1,0,成都 西进巴蜀第5关,1,1724970,52338,52938,0,10,"(10150,259,3)(10150,363,7)(10060,311,85)(10060,207,51)(10099,155,7)(10139,259,3)(10025,363,14)(10150,311,9)(10150,207,5)(10060,155,68)(10060,259,34)(10099,363,7)(10139,311,9)[(5671,114,4),(10025,207,10)][(5672,456,1),(10150,155,15)](10150,259,15)(10060,363,152)(10060,311,152)(10099,207,12)(10139,207,12)",8,0,0,0,0,0
339,1339,9,80,成都-9,34,2,0,成都 西进巴蜀第5关,1,1944990,52339,52939,0,10,"(10139,323,5)(10045,452,9)(10015,388,22)(10080,258,13)(10035,194,9)(10080,323,9)(10035,452,9)(10139,388,11)(10045,258,7)(10015,194,18)(10080,323,9)(10035,452,9)(10080,388,22)(10035,258,7)(10139,194,20)(10045,323,20)(10015,452,40)(10080,388,40)(10035,258,16)(10080,258,31)",8,0,0,0,0,0
340,1340,10,80,成都-10,34,3,0,成都 西进巴蜀第5关,1,0,52340,52940,0,10,,8,100,0,0,0,0
341,1341,1,81,剑阁-1,35,1,0,剑阁 进军长安第1关,1,473220,52341,52941,0,11,"(10045,314,7)(10150,440,10)(10110,377,87)(10150,251,7)(10080,188,21)(10120,314,14)(10080,440,21)(10045,377,9)(10150,251,7)(10110,188,104)(10150,314,7)(10080,440,21)(10120,377,17)(10080,251,14)(10045,188,10)(10150,314,7)(10110,440,104)(10150,377,9)(10080,251,14)(10120,251,21)",9,0,0,0,0,0
342,1342,2,81,剑阁-2,35,1,0,剑阁 进军长安第1关,1,646864,52342,52942,0,11,"(10139,285,6)(10110,399,104)(10110,342,41)(10080,228,17)(10120,171,17)(10080,285,12)(10139,399,10)(10015,342,37)(10139,228,19)(10110,171,187)(10110,285,187)(10080,399,37)(10120,342,8)(10080,228,17)(10139,171,10)(10015,285,12)(10110,399,104)(10080,342,8)(10120,228,17)(10080,228,17)",9,0,0,0,0,0
343,1343,3,81,剑阁-3,35,2,0,剑阁 进军长安第1关,1,2130270,52343,52943,0,11,"(10099,355,3)(10025,497,13)(10060,426,81)(10060,284,48)(10139,213,6)(10150,355,3)(10099,497,6)(10139,426,8)(10099,284,5)(10025,213,13)(10060,355,32)(10060,497,64)(10139,426,8)(10150,284,5)(10099,213,15)(10139,355,15)(10025,497,29)(10060,426,145)(10060,284,113)(10139,284,11)",9,0,0,0,0,0
344,1344,4,81,剑阁-4,35,1,0,剑阁 进军长安第1关,1,454403,52344,52944,0,11,"(10015,301,15)(10015,421,23)(10015,361,19)(10150,241,8)(10035,181,12)(10060,301,77)(10060,421,115)(10045,361,10)(10015,241,15)(10015,181,23)(10015,301,15)(10150,421,12)(10035,361,10)(10060,241,77)(10060,181,115)(10045,301,8)(10150,421,12)(10035,361,10)(10060,241,77)(10060,241,115)",9,0,0,0,0,0
345,1345,5,81,剑阁-5,35,1,0,剑阁 进军长安第1关,1,622980,52345,52945,0,11,"(10035,274,6)(10035,384,11)(10045,329,4)(10130,219,17)(10005,164,84)(10045,274,6)[(5708,301,1),(10090,384,11)][(5706,301,1),(10035,329,19)][(5655,301,1),(10035,219,19)](10045,164,19)(10130,274,38)(10005,384,189)(10045,329,4)(10090,219,8)(10035,164,11)(10035,274,6)(10045,384,11)(10130,329,8)(10005,219,84)(10045,219,8)",9,0,0,0,0,0
346,1346,6,82,剑阁-6,35,2,0,剑阁 进军长安第1关,1,1985520,52346,52946,0,11,"(10139,330,4)(10130,462,15)(10005,396,95)(10099,264,6)(10070,198,15)(10005,330,38)(10139,462,8)(10139,396,10)(10130,264,11)(10005,198,76)(10099,330,4)(10070,462,15)(10005,396,95)(10139,264,6)(10139,198,17)(10130,330,34)(10005,462,171)(10099,396,17)(10070,264,27)(10005,264,133)",9,0,0,0,0,0
347,1347,7,82,剑阁-7,35,1,0,剑阁 进军长安第1关,1,664234,52347,52947,0,11,"(10139,293,7)(10045,410,11)(10045,352,4)(10080,234,17)(10080,176,17)(10035,293,7)(10139,410,11)(10015,352,39)(10139,234,20)(10045,176,20)(10045,293,20)(10080,410,39)(10080,352,9)(10035,234,9)(10139,176,11)(10015,293,13)(10045,410,11)(10045,352,4)(10080,234,17)(10080,234,17)",9,0,0,0,0,0
348,1348,8,82,剑阁-8,35,1,0,剑阁 进军长安第1关,1,245718,52348,52948,0,11,"(10120,270,32)(10025,378,32)[(5659,119,4),(10099,324,16)][(5656,475,1),(10120,216,32)](10120,162,14)(10139,270,5)(10099,378,7)(10090,324,9)(10120,216,14)(10025,162,11)(10099,270,7)(10120,378,18)(10120,324,14)(10139,216,5)(10099,162,7)(10090,270,9)(10120,378,14)(10120,324,11)(10139,216,7)(10099,216,9)",9,0,0,0,0,0
349,1349,9,82,剑阁-9,35,2,0,剑阁 进军长安第1关,1,305645,52349,52949,0,11,"(10099,339,21)(10025,475,42)(10099,407,21)(10090,271,21)(10025,203,19)(10070,339,14)(10130,475,19)(10070,407,23)(10099,271,9)(10025,203,14)(10099,339,9)(10090,475,12)(10025,407,19)(10070,271,14)(10130,203,19)(10070,339,23)(10025,475,19)(10099,407,7)(10090,271,9)(10025,271,23)",9,0,0,0,0,0
350,1350,10,82,剑阁-10,35,3,0,剑阁 进军长安第1关,1,0,52350,52950,0,11,,9,100,0,0,0,0
351,1351,1,83,葭萌关-1,36,1,0,葭萌关 进军长安第2关,1,315198,52351,52951,0,12,"(10130,350,32)(10130,490,32)(10015,420,32)(10035,280,16)(10070,210,14)(10015,350,11)(10120,490,14)(10130,420,18)(10130,280,14)(10015,210,11)(10035,350,7)(10070,490,18)(10015,420,14)(10120,280,11)(10130,210,14)(10130,350,18)(10015,490,14)(10035,420,5)(10070,280,14)(10015,280,18)",9,0,0,0,0,0
352,1352,2,83,葭萌关-2,36,1,0,葭萌关 进军长安第2关,1,476115,52352,52952,0,12,"(10110,316,86)(10110,442,129)(10025,379,22)(10025,253,17)(10080,190,26)(10080,316,17)(10139,442,13)(10139,379,11)(10045,253,9)(10045,190,13)(10110,316,86)(10110,442,129)(10025,379,22)(10025,253,17)(10080,190,26)(10080,316,17)(10139,442,13)(10139,379,11)(10045,253,9)(10045,253,13)",9,0,0,0,0,0
353,1353,3,83,葭萌关-3,36,2,0,葭萌关 进军长安第2关,1,883530,52353,52953,0,12,"(10005,394,50)(10130,552,17)(10005,473,34)(10150,315,7)(10130,236,13)(10070,394,10)(10045,552,8)(10070,473,30)(10150,315,15)(10045,236,15)(10005,394,151)(10130,552,30)(10005,473,34)(10150,315,7)(10130,236,17)(10070,394,10)(10045,552,8)(10070,473,7)(10150,315,7)(10045,315,7)",9,0,0,0,0,0
354,1354,4,83,葭萌关-4,36,1,0,葭萌关 进军长安第2关,1,2014470,52354,52954,0,12,"(10060,335,40)(10120,469,16)(10060,402,99)(10090,268,6)(10099,201,8)(10015,335,8)(10015,469,16)(10120,402,20)(10060,268,60)(10120,201,16)(10060,335,40)(10090,469,8)(10099,402,10)(10015,268,12)(10015,201,36)(10120,335,36)(10060,469,179)(10120,402,36)(10060,268,139)(10090,268,14)",9,0,0,0,0,0
355,1355,5,83,葭萌关-5,36,1,0,葭萌关 进军长安第2关,1,753255,52355,52955,0,12,"(10060,304,65)(10090,426,11)(10060,365,44)(10139,243,9)(10110,182,87)(10005,304,65)(10090,426,11)[(5664,301,2),(10060,365,196)][(5676,301,2),(10090,243,20)][(5665,401,1),(10060,182,196)](10139,304,20)(10110,426,196)(10005,365,44)(10090,243,9)(10060,182,109)(10090,304,7)(10060,426,109)(10139,365,4)(10110,243,87)(10005,243,87)",9,0,0,0,0,0
356,1356,6,84,葭萌关-6,36,2,0,葭萌关 进军长安第2关,1,548490,52356,52956,0,12,"(10080,366,16)(10130,512,24)(10025,439,20)(10025,293,16)(10120,220,24)(10035,366,8)(10035,512,12)(10130,439,20)(10080,293,16)(10130,220,24)(10025,366,16)(10025,512,24)(10120,439,20)(10035,293,8)(10035,220,12)(10130,366,16)(10080,512,24)(10130,439,20)(10025,293,16)(10035,293,12)",9,0,0,0,0,0
357,1357,7,84,葭萌关-7,36,1,0,葭萌关 进军长安第2关,1,294354,52357,52957,0,12,"(10070,326,41)(10110,456,203)(10015,391,41)(10139,261,20)(10110,196,90)(10110,326,68)(10045,456,9)(10139,391,11)(10070,261,18)(10070,196,14)(10110,326,90)(10015,456,23)(10139,391,9)(10110,261,68)(10110,196,90)(10045,326,11)(10139,456,9)(10070,391,14)(10015,261,18)(10045,261,11)",9,0,0,0,0,0
358,1358,8,84,葭萌关-8,36,1,0,葭萌关 进军长安第2关,1,746741,52358,52958,0,12,"(10080,301,11)(10150,421,9)(10080,361,7)(10090,241,7)(10025,181,15)(10100,301,6)[(5698,314,3),(10025,421,18)][(5697,314,3),(10150,361,16)][(5710,364,2),(10080,241,33)](10150,181,16)(10080,301,33)(10090,421,16)(10025,361,7)(10100,241,7)(10025,181,18)(10150,301,6)(10090,421,9)(10025,361,7)(10100,241,7)(10025,241,15)",9,0,0,0,0,0
359,1359,9,84,葭萌关-9,36,2,0,葭萌关 进军长安第2关,1,2257650,52359,52959,0,12,"(10130,377,10)(10035,528,10)(10015,452,24)(10005,302,72)(10110,226,96)(10110,377,48)(10035,528,10)(10130,452,24)(10035,302,7)(10015,226,19)(10005,377,48)(10110,528,96)(10110,452,120)(10035,302,7)(10130,226,43)(10035,377,22)(10015,528,43)(10005,452,215)(10110,302,168)(10110,302,168)",9,0,0,0,0,0
360,1360,10,84,葭萌关-10,36,3,0,葭萌关 进军长安第2关,1,0,52360,52960,0,12,,9,100,0,0,0,0
361,1361,1,85,汉中-1,37,1,0,汉中 进军长安第3关,1,822735,52361,52961,0,1,"(10100,366,6)(10025,512,19)(10140,439,4)(10140,293,8)(10150,220,8)(10150,366,6)(10060,512,94)(10100,439,17)(10025,293,34)(10140,220,17)(10140,366,17)(10150,512,17)(10150,439,4)(10060,293,75)(10100,220,9)(10025,366,11)(10140,512,9)(10140,439,4)(10150,293,8)(10150,293,8)",9,0,0,0,0,0
362,1362,2,85,汉中-2,37,1,0,汉中 进军长安第3关,1,299565,52362,52962,0,1,"(10035,332,20)(10035,465,20)(10035,398,20)(10130,266,40)(10090,199,9)(10070,332,13)(10015,465,18)(10015,398,22)(10130,266,18)(10035,199,7)(10035,332,9)(10035,465,11)(10130,398,18)(10090,266,7)(10070,199,18)(10015,332,22)(10015,465,18)(10130,398,13)(10090,266,9)(10090,266,11)",9,0,0,0,0,0
363,1363,3,85,汉中-3,37,2,0,汉中 进军长安第3关,1,616523,52363,52963,0,1,"(10110,413,70)(10015,578,21)(10100,496,9)(10100,330,7)(10120,248,21)(10120,413,14)(10090,578,10)(10015,496,17)(10110,330,70)(10015,248,21)(10100,413,7)(10100,578,10)(10120,496,17)(10120,330,14)(10090,248,10)(10015,413,14)(10100,578,10)(10100,496,9)(10120,330,14)(10120,330,21)",9,0,0,0,0,0
364,1364,4,85,汉中-4,37,1,0,汉中 进军长安第3关,1,2101320,52364,52964,0,1,"(10070,350,8)(10035,490,8)(10045,420,10)(10060,280,62)(10140,210,8)(10070,350,8)(10060,490,82)(10070,420,21)(10035,280,6)(10045,210,8)(10060,350,41)(10140,490,8)(10070,420,21)(10060,280,62)(10070,210,37)(10035,350,19)(10045,490,19)(10060,420,185)(10140,280,14)(10070,280,29)",9,0,0,0,0,0
365,1365,5,85,汉中-5,37,1,0,汉中 进军长安第3关,1,315198,52365,52965,0,1,"(10025,318,40)[(5711,420,1),(10100,445,20)][(5657,420,1),(10025,382,40)][(5678,210,3),(10045,254,20)](10090,191,9)(10090,318,7)(10150,445,9)(10025,382,22)(10100,254,9)(10025,191,13)(10045,318,9)(10090,445,11)(10090,382,9)(10150,254,7)(10025,191,18)(10100,318,11)(10025,445,18)(10045,382,7)(10090,254,9)(10090,254,11)",9,0,0,0,0,0
366,1366,6,86,汉中-6,37,2,0,汉中 进军长安第3关,1,573098,52366,52966,0,1,"(10130,383,16)(10110,536,122)(10035,460,10)(10035,306,8)(10120,230,24)(10140,383,8)(10110,536,122)(10130,460,20)(10110,306,82)(10035,230,12)(10035,383,8)(10120,536,24)(10140,460,10)(10110,306,82)(10130,230,24)(10110,383,82)(10035,536,12)(10035,460,10)(10120,306,16)(10140,306,12)",9,0,0,0,0,0
367,1367,7,86,汉中-7,37,1,0,汉中 进军长安第3关,1,766283,52367,52967,0,1,"(10015,340,14)(10090,476,12)(10100,408,5)(10070,272,19)(10070,204,19)(10150,340,7)(10090,476,12)(10015,408,42)(10015,272,42)(10090,204,21)(10100,340,21)(10070,476,42)(10070,408,9)(10150,272,9)(10090,204,12)(10015,340,14)(10100,476,12)(10070,408,9)(10070,272,19)(10150,272,9)",9,0,0,0,0,0
368,1368,8,86,汉中-8,37,1,0,汉中 进军长安第3关,1,774968,52368,52968,0,1,"(10100,313,6)(10100,438,10)(10110,376,38)(10110,250,76)(10045,188,8)(10120,313,11)(10130,438,19)[(5685,378,2),(10100,376,17)][(5673,447,1),(10100,250,17)][(5700,206,5),(10110,188,171)](10110,313,171)(10045,438,17)(10120,376,8)(10130,250,15)(10100,188,10)(10100,313,6)(10110,438,95)(10110,376,38)(10045,250,8)(10120,250,15)",9,0,0,0,0,0
